    2    1 24.6    0.0  6.594  1.151  1.224  -0.63    3
 584.3  21.2  .276 625.2  19.8  .276 591.0  21.0  .276
 537.0  23.0  .073 522.1  23.6  .07010830.  21.0  .000
 5876.  23.1  .073 6678.  23.1  .073
    2    2 54.4    0.0 -.0199  2.147 -.4393 -.1308    2
 304.8  40.7  .416 256.3  48.4  .079 243.0  51.0  .029
 237.3  52.3  .027 1640.  48.8  .079
    6    1 11.3   280. 40.408-27.990  -0.49   .271    2
 1561.  7.94  .091 945.4  13.1  0.27 1329.  9.32  .038
 1278.  9.69  .096 1657.  7.48  0.17 2967.  4.18 .0016
    6    2 24.4   296.  .0030  8.936 -4.287  -.053    3
1335.7  9.25  0.12 1037.  12.0  .051 904.1  13.7  0.46
 687.3  18.0  0.35 593.1  20.9  .090 858.4  14.4  .046
1140.0  24.6  0.35  966.  21.2   .35 2325.  5.33  .014
    6    3 47.9   325.  3.517 -7.500  7.540 -3.183    4
  977.  12.7  0.73 1910.  6.50  0.73 574.3  34.2  0.22
 459.6  33.5  0.22 371.7  39.8  .016  690.  30.0  0.22
 386.2  32.1  0.22 310.2  39.9  .016
 1176.  10.5  1.00 2297.  11.6  1.00
    6    4 64.5   344.   .618   .475  -.857   .328    3
1549.1  7.98  .286 312.4  39.6  0.20 244.9  50.6  0.06
 222.8  55.7  .026 384.1  40.2  0.20 289.2  47.5  0.06
 419.7  34.8  0.20 296.9  46.4  0.06
    6    5 392.    0.0   .032   .843  -.555   .153    3
 40.27  308.  .647 41.47  304.  .647 40.73  304.  .647
 34.97  354.  .141 33.43  370.  .130 2283.  304.  .000
 248.7  354.  .141 267.2  354.  .141 40.50  304.  .647
    6    6 490.    0.0 -.0022  .2385 -.0488 -.0145    2
 33.74 367.5  .416 28.47  436.  .079 26.99 459.4  .029
 26.37 470.2  .027 182.2  436.  .079
    7    1 14.5   395. 60.391 -49.27  1.054 -0.077    2
1134.6  10.9  .13
1199.9  10.3  .023
    7    2 29.6   412.  -.002 19.054 -12.49   .091    3
1085.1  11.5  0.11 645.0  19.3  0.21 916.3  13.6  0.21
 533.6  23.3  0.26 671.5  18.5  .084 2146.  5.78 .0041
 608.  25.6   .35   505.  29.9  0.60  477.  25.1   .35
    7    3 47.4   432.   .002  3.322 -1.211  -.052    3
 991.0  12.5  0.11 764.0  16.4  0.11 685.7  18.0  0.38
