# Optically thin H and He photoionization and heating rates + Compton heating rate
#
# The following 11 lines are model identification flags
# CUBA V6.3 Nov 2011
# 0.1000E+01
# 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
# 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
# 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
# 0.1000E+01
# Inputs/salp_SFRD1parfit.hiz.dat
# Inputs/column_dist.dat
# 0.1000E+01
# 0.1800E-03 0.3400E+01
# 0.1000E+02
#
# The following 7 lines are column identification labels
# z=redshift, HI_i=hydrogen phoionization rate, HI_h=hydrogen photoheating rate 
# HeI_i,h=photoionization and photoheating rates for neutral helium
# HeII_i,h=photoionization and photoheating rates for singly ionized helium
# Compton= Compton heating rate. 
# All photoionization and photoheating rates are *per ion* and have units of 1/s and eV/s, respectively.
# The Compton heating rate is *per electron* and has units of eV/s. 
#  z      HI_i     HI_h    HeI_i    HeI_h    HeII_i   HeII_h   Compton 
 .000E+00 .228E-13 .889E-13 .124E-13 .112E-12 .555E-15 .114E-13 .690E-19
 .491E-01 .284E-13 .111E-12 .157E-13 .140E-12 .676E-15 .138E-13 .827E-19
 .101E+00 .354E-13 .139E-12 .196E-13 .174E-12 .823E-15 .168E-13 .985E-19
 .155E+00 .440E-13 .173E-12 .246E-13 .216E-12 .100E-14 .203E-13 .117E-18
 .211E+00 .546E-13 .215E-12 .307E-13 .267E-12 .122E-14 .245E-13 .137E-18
 .271E+00 .674E-13 .266E-12 .383E-13 .331E-12 .148E-14 .296E-13 .159E-18
 .333E+00 .831E-13 .329E-12 .475E-13 .408E-12 .180E-14 .357E-13 .184E-18
 .399E+00 .102E-12 .405E-12 .587E-13 .502E-12 .218E-14 .429E-13 .211E-18
 .468E+00 .125E-12 .496E-12 .722E-13 .615E-12 .263E-14 .514E-13 .240E-18
 .540E+00 .152E-12 .605E-12 .884E-13 .751E-12 .317E-14 .615E-13 .270E-18
 .615E+00 .185E-12 .734E-12 .108E-12 .911E-12 .380E-14 .732E-13 .302E-18
 .695E+00 .223E-12 .885E-12 .130E-12 .110E-11 .454E-14 .867E-13 .334E-18
 .778E+00 .267E-12 .106E-11 .157E-12 .132E-11 .538E-14 .102E-12 .366E-18
 .865E+00 .318E-12 .126E-11 .187E-12 .157E-11 .633E-14 .119E-12 .397E-18
 .957E+00 .376E-12 .149E-11 .222E-12 .186E-11 .738E-14 .139E-12 .426E-18
 .105E+01 .440E-12 .175E-11 .261E-12 .217E-11 .852E-14 .159E-12 .452E-18
 .115E+01 .510E-12 .203E-11 .302E-12 .251E-11 .970E-14 .181E-12 .475E-18
 .126E+01 .585E-12 .232E-11 .346E-12 .287E-11 .109E-13 .202E-12 .493E-18
 .137E+01 .660E-12 .262E-11 .391E-12 .323E-11 .119E-13 .221E-12 .505E-18
 .149E+01 .732E-12 .290E-11 .434E-12 .357E-11 .127E-13 .237E-12 .510E-18
 .161E+01 .799E-12 .317E-11 .474E-12 .387E-11 .132E-13 .247E-12 .507E-18
 .174E+01 .859E-12 .341E-11 .509E-12 .413E-11 .134E-13 .253E-12 .493E-18
 .187E+01 .909E-12 .360E-11 .538E-12 .432E-11 .133E-13 .252E-12 .467E-18
 .201E+01 .944E-12 .374E-11 .557E-12 .444E-11 .128E-13 .244E-12 .433E-18
 .216E+01 .963E-12 .381E-11 .567E-12 .446E-11 .119E-13 .229E-12 .400E-18
 .232E+01 .965E-12 .382E-11 .566E-12 .438E-11 .106E-13 .207E-12 .369E-18
 .248E+01 .950E-12 .375E-11 .555E-12 .422E-11 .904E-14 .178E-12 .340E-18
 .265E+01 .919E-12 .363E-11 .535E-12 .398E-11 .722E-14 .145E-12 .313E-18
 .283E+01 .875E-12 .346E-11 .508E-12 .368E-11 .530E-14 .111E-12 .288E-18
 .302E+01 .822E-12 .325E-11 .476E-12 .336E-11 .351E-14 .775E-13 .265E-18
 .321E+01 .765E-12 .302E-11 .441E-12 .304E-11 .208E-14 .497E-13 .244E-18
 .342E+01 .705E-12 .279E-11 .406E-12 .274E-11 .114E-14 .296E-13 .224E-18
 .364E+01 .647E-12 .257E-11 .372E-12 .249E-11 .591E-15 .168E-13 .206E-18
 .387E+01 .594E-12 .236E-11 .341E-12 .227E-11 .302E-15 .925E-14 .189E-18
 .411E+01 .546E-12 .218E-11 .314E-12 .209E-11 .152E-15 .501E-14 .173E-18
 .436E+01 .504E-12 .202E-11 .291E-12 .194E-11 .760E-16 .267E-14 .159E-18
 .462E+01 .469E-12 .189E-11 .271E-12 .181E-11 .375E-16 .141E-14 .146E-18
 .489E+01 .441E-12 .178E-11 .253E-12 .170E-11 .182E-16 .727E-15 .134E-18
 .518E+01 .412E-12 .167E-11 .237E-12 .160E-11 .857E-17 .365E-15 .123E-18
 .549E+01 .360E-12 .148E-11 .214E-12 .146E-11 .323E-17 .156E-15 .113E-18
 .581E+01 .293E-12 .123E-11 .184E-12 .130E-11 .117E-17 .624E-16 .104E-18
 .614E+01 .230E-12 .989E-12 .154E-12 .112E-11 .442E-18 .269E-16 .951E-19
 .649E+01 .175E-12 .771E-12 .125E-12 .952E-12 .173E-18 .128E-16 .872E-19
 .686E+01 .129E-12 .583E-12 .992E-13 .783E-12 .701E-19 .674E-17 .799E-19
 .725E+01 .928E-13 .430E-12 .761E-13 .625E-12 .292E-19 .388E-17 .731E-19
 .765E+01 .655E-13 .310E-12 .568E-13 .483E-12 .125E-19 .240E-17 .669E-19
 .807E+01 .456E-13 .219E-12 .414E-13 .363E-12 .567E-20 .155E-17 .610E-19
 .852E+01 .312E-13 .153E-12 .296E-13 .266E-12 .274E-20 .103E-17 .556E-19
 .899E+01 .212E-13 .105E-12 .207E-13 .191E-12 .144E-20 .698E-18 .505E-19
 .948E+01 .143E-13 .713E-13 .144E-13 .134E-12 .819E-21 .476E-18 .457E-19
 .999E+01 .959E-14 .481E-13 .982E-14 .927E-13 .499E-21 .326E-18 .412E-19
 .105E+02 .640E-14 .323E-13 .667E-14 .636E-13 .325E-21 .224E-18 .368E-19
 .111E+02 .427E-14 .217E-13 .453E-14 .435E-13 .212E-21 .153E-18 .326E-19
 .117E+02 .292E-14 .151E-13 .324E-14 .314E-13 .143E-21 .106E-18 .284E-19
 .123E+02 .173E-14 .915E-14 .202E-14 .198E-13 .984E-22 .752E-19 .243E-19
 .130E+02 .102E-14 .546E-14 .123E-14 .122E-13 .681E-22 .531E-19 .201E-19
 .137E+02 .592E-15 .323E-14 .746E-15 .749E-14 .473E-22 .373E-19 .156E-19
 .144E+02 .341E-15 .189E-14 .446E-15 .455E-14 .330E-22 .257E-19 .109E-19
 .151E+02 .194E-15 .110E-14 .262E-15 .270E-14 .192E-22 .154E-19 .577E-20
